userName,score,at,content
Pengguna Google,5,2024-09-08 04:04:08,Suka bangeut pake aplikasi shopee tegas menindak pada seller nakal. Jadi tempat berbelanja aman dan terpercaya
Pengguna Google,5,2024-09-08 04:02:36,Tpi kok di hp saya susah buat cekout... Yang muncul verifikasi yg gak slesai2 jd lma... Bnget muncule
Pengguna Google,1,2024-09-08 04:01:03,"sangat lambat kalo kita pesan barang, rekomendasix TDK akurat.preet"
Pengguna Google,1,2024-09-08 03:58:38,"Shopee skrg dah gk sebagus dlu,, expedisi ny lelet.. Kecewa"
Pengguna Google,5,2024-09-08 03:58:33,Untuk saat ini shopee cukup bagus.. Saran untuk shope ya tolong jika penjual yg pengemasan selama 3/4hari untuk pelanggan itu sudah tidak wajar.. jd tolong beri peringatan tuk penjual .. dan jika penjual tersebut tidak aktif selama berbulan bulan harap d'nonaktifkan atau blokir trima kasih
Pengguna Google,3,2024-09-08 03:58:29,"Harus nya shopee jangan egois dan mementingkan pelanggan saja. Perihal retur pengembalian barang harus nya ada pihak ketiga atau penengah sebagai hakim yg adil. Ahir"" ini saya sering jadi korban penipuan pembeli. Retur barang dengan barang bekas ."
Pengguna Google,5,2024-09-08 03:58:03,"Mengerti kebutuhan konsumen, maju terus"
Pengguna Google,5,2024-09-08 03:57:50,Barang sesuai dg pesanan dan pengiriman memuaskan.
Pengguna Google,1,2024-09-08 03:56:33,baik
Pengguna Google,3,2024-09-08 03:54:41,"Kepada aplikasi shopee pinjaman yang terhormat mengapa harus ada kata pencarian 3hri kinerja,mohon beri saya jawaban nya,dan pihak kepada pinjam shopee saya belum ada menerima uang apapun dan saya mintak maaf juga karna belum pakar menjelajahinya 🙏🙏🙏🙏"
Pengguna Google,5,2024-09-08 03:54:08,Sangat membantu
Pengguna Google,5,2024-09-08 03:53:46,saya suka dengan shopee karna belanjanya gampang dan murah lagi..... thank you shopee.
Pengguna Google,3,2024-09-08 03:52:57,Udah bagus cuman pengiriman nya yang lama
Pengguna Google,5,2024-09-08 03:52:33,Cakep
Pengguna Google,5,2024-09-08 03:52:25,👋👋
Pengguna Google,1,2024-09-08 03:51:46,"tlong kpda SPX EXPRESS lbih ditingkatkan lagi pengirimannya, masa paket saya di retur tnpa konfirmasi dulu ke saya... saya sangat kecewa!!! apalgi sekarang di shopee tdak bisa pilih ekspedisi yg saya inginkan😭😭🙏🙏🙏"
Pengguna Google,5,2024-09-08 03:51:43,Memuaskan
Pengguna Google,4,2024-09-08 03:49:38,Shopee baik
Pengguna Google,1,2024-09-08 03:49:31,Aplikasi nya bagusss
Pengguna Google,2,2024-09-08 03:49:28,beranda shoppe aku tdk bisaa
Pengguna Google,4,2024-09-08 03:48:24,"Terbaik, tingkatkan lagi, semoga sukses.."
Pengguna Google,5,2024-09-08 03:47:34,Mantulll apk nya👍👍
Pengguna Google,5,2024-09-08 03:47:34,Sangat membantu sekali dan harganya bisa lebih murah daripada ke toko
Pengguna Google,3,2024-09-08 03:47:01,shopee sangat menarik .👍👍👍
Pengguna Google,5,2024-09-08 03:46:59,terbaik
Pengguna Google,5,2024-09-08 03:45:42,seneng belanja di shopee
Pengguna Google,5,2024-09-08 03:45:17,Saya senang dengan aplikasi ini
Pengguna Google,5,2024-09-08 03:44:19,manrap
Pengguna Google,5,2024-09-08 03:43:45,mantap
Pengguna Google,5,2024-09-08 03:43:13,Okkkk
Pengguna Google,5,2024-09-08 03:43:07,Mantap
Pengguna Google,2,2024-09-08 03:42:41,Produk MULYONO! saatnya Unninstal
Pengguna Google,5,2024-09-08 03:42:19,"Smga shopee makin nambah baik ke depan nya,klu skrg udah bgs ke depan ny makin bgs,dan ongkir smga bisa LBH murah,heee..."
Pengguna Google,5,2024-09-08 03:39:20,Sangat memuaskan ⭐🥰
Pengguna Google,5,2024-09-08 03:39:19,Males bgt sekarang ada biaya penanganan biaya pelyanan jg hadehhh
Pengguna Google,5,2024-09-08 03:38:30,mantappp
Pengguna Google,5,2024-09-08 03:37:42,Servis memuaskan. Barang sesuai pesanan. Paket tiba secepat yang diharapkan.
Pengguna Google,5,2024-09-08 03:36:48,"Bagus,goot job👍🏻"
Pengguna Google,5,2024-09-08 03:36:06,"tentang pengalaman sy bersama dg Shoope, tentang pengiriman lebih sedikit di percepat ja sedikit, terimakasih"
Pengguna Google,5,2024-09-08 03:35:52,Sangat bermanfaat Shopie membantu dan meringankan kebutuhan
Pengguna Google,3,2024-09-08 03:33:05,"sebenarnya bagus sangat bagus shopee ini,lengkap dan murah,skrng minesnya 1. tolong pihak shope jangah lah prioritaskan/rekomen pesanan kita ke pihak jasa SPX, Spx kurang profesional menjalankan tugas sehingga jadinya lambat,sudah ribuan orang mengeluh soal jasa SPX. apakah shopee mau karna 1 keburukan Jasa seribu pelanggan lari ? tolonglah,mending JNT&JNE yg di prioritaskan ke setiap toko. terima kasih"
Pengguna Google,2,2024-09-08 03:32:48,Bagussss
Pengguna Google,5,2024-09-08 03:31:58,Mantap
Pengguna Google,5,2024-09-08 03:31:56,Hanya bintang yang bisa menjawab..
Pengguna Google,4,2024-09-08 03:31:48,Apk nyw bagus tapi banyak iklan Contohnya Kan aku lagi buka apk lain kayak youtube tiba tiba ada iklan shoope cod anjir lah 🗿👊🏻
Pengguna Google,1,2024-09-08 03:30:22,mahal ongkirnya dari barang yang kita pesan cuaaakkzzzz...!!!!🤣 auto hapus aplikasi ini
Pengguna Google,4,2024-09-08 03:28:19,aplikasi ini sangat membantu
Pengguna Google,5,2024-09-08 03:28:03,Wahhh!! Dari Shopee aku bisa berbelanja terus! Dan mendapatkan diskon besar besaran... Doa kan aku semoga nanti malam bisa mendapat ip seharga seratus perak ya! Heheheh
Pengguna Google,1,2024-09-08 03:27:15,Kurir nya gak bisa milih parah
Pengguna Google,5,2024-09-08 03:27:07,Oke
Pengguna Google,5,2024-09-08 03:23:35,"Sejauh ini masih bagus pelayanannya ,,kedepannya moga tetap baik"
Pengguna Google,5,2024-09-08 03:23:34,Luar biasa
Pengguna Google,5,2024-09-08 03:22:09,Keren nieh
Pengguna Google,5,2024-09-08 03:21:53,Mantap
Pengguna Google,5,2024-09-08 03:21:29,Langganan beli d shopee tp biaya admin mkin naik trs 🥲
Pengguna Google,5,2024-09-08 03:21:14,Belanja di shopee lengkap jadi mudah
Pengguna Google,5,2024-09-08 03:20:49,Sangat bagus
Pengguna Google,5,2024-09-08 03:19:36,Shopee untuk sekarang ini masih terdepan dan terpercaya dibandingkan dengan yang lain
Pengguna Google,1,2024-09-08 03:17:01,Update tampilan barunya lama sekali😡😤
Pengguna Google,3,2024-09-08 03:16:45,"Sejauh ini udah ga ngelag apk nya, tpi berat bgt penyimpanannya, kalo bisa dikurangim fitur2 yg tidak perlu, soalnya bikin hp cpet panas kalo buka apk ini"
Pengguna Google,5,2024-09-08 03:15:42,Aplikasi terbaik 🤙
Pengguna Google,4,2024-09-08 03:15:05,Ini kenapa sekarang ni.kok buka aplikasi lgsg ke live.bikin jengkel aja di paksa harus lihat live dulu
Pengguna Google,5,2024-09-08 03:13:01,Banyakin diskonnya bang
Pengguna Google,5,2024-09-08 03:12:36,Baik
Pengguna Google,5,2024-09-08 03:12:36,Mantul
Pengguna Google,5,2024-09-08 03:10:29,baguss
Pengguna Google,3,2024-09-08 03:08:41,Ckup puas
Pengguna Google,5,2024-09-08 03:07:59,"Semuahnya perfect, cuman satu kendala saya di fitur shopepay, ketika mau beli barang dan mau bayar tidak bisa padahal saldo sudah melebihi dari harga barang, itu kira² kenapa ya min?"
Pengguna Google,1,2024-09-08 03:06:58,saya beli pulsa di shope ga masuk2 padahal sudah di bayar sudah hubungi cs tetap saja ga ada solusi malah di suruh tunggu estimasi 1 hari kerja tapi sekarang sudah lebih tapi tetep belum masuk2 dana ga bisa kembali pulsa ga ada apk ampas.
Pengguna Google,5,2024-09-08 03:06:36,mantap
Pengguna Google,1,2024-09-08 03:05:41,"Shopee aneh paket mu sampai tujuan tpi info kurirnya kga muncul jdi kan sudah buat ngehubungi kurir, Klu udh di pic-up Bru dah info kurirnya muncul dan bingung kadang di keterangan notifikasi bilangnya paket udh sampai tujuan tpi di tungguin kga ada.. kga Kya apk BIRU sblah kterangan dan info valid pls kurir"
Pengguna Google,1,2024-09-08 03:02:30,Ngebug
Pengguna Google,5,2024-09-08 03:01:49,Buka blokiran Spinjam dan paylater ku dong
Pengguna Google,5,2024-09-08 03:01:48,Berbelanja di shopie paling memuaskan harga dan pelayanan jg sangat cepat
Pengguna Google,1,2024-09-08 02:59:37,"Ni Shopee kebiasaan banget paket uda nyampe di lokasi sortir tp kagak di antar"" Shopee express emang taekkk"
Pengguna Google,3,2024-09-08 02:57:47,bagus
Pengguna Google,5,2024-09-08 02:57:10,Sangat membatu semua ada di shope
Pengguna Google,5,2024-09-08 02:55:13,shoope mantap
Pengguna Google,4,2024-09-08 02:55:03,"Kenapa apk sering log out sendiri... Trus sekarang berkedip terus kenapa minn😭😭, udah d bersihkan chace,udah update ,udah di instal ulang tapi masih berkedip🥲 gabisa d buka"
Pengguna Google,3,2024-09-08 02:52:47,"Min kenapa Shopee d HP saya kok suka tiba"" Keluar ya"
Pengguna Google,5,2024-09-08 02:52:14,Sangat bagus & membantu
Pengguna Google,5,2024-09-08 02:51:26,Ok memuaskan
Pengguna Google,5,2024-09-08 02:49:37,bagus
Pengguna Google,5,2024-09-08 02:49:19,Tempat belanja andalan
Pengguna Google,5,2024-09-08 02:49:16,👍
Pengguna Google,5,2024-09-08 02:48:15,"Belanja bsa plih²,,sesuai isi kantong dompet 😁👌🏼"
Pengguna Google,5,2024-09-08 02:48:05,Baik
Pengguna Google,5,2024-09-08 02:47:46,Sejauh ini mantap 👍
Pengguna Google,5,2024-09-08 02:47:36,Terima kasih selalu kasih diskon ongkir 😄pertahankan ya Pee Shopee biar aq juga bertahan di kamu😄oke Shopee ... Siip
Pengguna Google,2,2024-09-08 02:47:10,"saran shopee pengiriman nya di perbaiki lagi sering banget pengiriman telat bahkan lewat estimasi jauh banget,terus tolong kalau nomor kurir expedisi spx tuh di tampilkan kaya expedisi j&t,biar kalau ada apa² gampang ngehubungi kurir"
Pengguna Google,1,2024-09-08 02:46:33,Malinggggg....paket Internet gue....
Pengguna Google,1,2024-09-08 02:46:25,"Lelet bgt sekarang pengiriman ny,, pesan dr tgl 31, tgl 8 blom smpai jg itu barang,,, ngapain aja klian?? Sudh komplent ke aplkasi, gak da solusi ny...Trus pesanan sya dr tgl 6 gk ada update ny smpe tgl 8,, sudah terlalu kecewA.."
Pengguna Google,5,2024-09-08 02:46:17,Aplikasi belanja online terbaik Maju terus Shopee .. ⭐⭐⭐⭐⭐
Pengguna Google,1,2024-09-08 02:46:04,"Tak ada peraturan untuk menekan penjual2 nakal, mereka bebas untuk terus eksis di shopee.. harusnya setiap seller yang sengaja tidak merespon saat mereka aktif dapat hukuman dari shopee, bila perlu tutup tokonya"
Pengguna Google,5,2024-09-08 02:45:40,bagus
Pengguna Google,1,2024-09-08 02:44:46,"Semenjak update terbaru pengiriman semakin lama, semakin jelek kualitas belanja di aplikasi shopee ini, mana ongkir ke Kalimantan tidak bsa di pke voucher gratis ongkir selalu ad batas dan ketentuan, bru bsa dipakai. Banyak tingkah shopee sekarang."
Pengguna Google,1,2024-09-08 02:44:38,"Shopee tolong di perhatikan untuk kami warga kalimantan kembalikan pengiriman lewat JNT EXPRESS/ DLL jangan automatis ke SHOPEE EXPRESS karena kami yg tinggal di Kecamtan/Desa pihak SHOPEE EXPRESS sering mengabaikan paket kami,kurir tidak mau mengantarkan paker,Paket sering hilang. Tolong sekali pihak shopee kembalikan JNT EXPRESS!!!!"
Pengguna Google,5,2024-09-08 02:43:36,"shoope sekarang lebih memikat,,mantap lanjutkan dan pertahankan prestasi anda"
Pengguna Google,2,2024-09-08 02:43:27,Kenapa aplikasi shopee di hp saya sekarang berandanya gak bisa di buka
Pengguna Google,5,2024-09-08 02:41:31,Banyak promo gratis ongkir COD
Pengguna Google,1,2024-09-08 02:40:50,"Tolong, saya ingin mengganti no hp Saya yang tidak aktif lagi. Tapi kenapa shopee malah memberikan kode otp ke no HP yang sudah tidak aktif?. Seharusnya ada cara lain untuk melakukan pergantian no hp. Jika begini akan mempersulit orang yang ingin Menganti no hp yang baru. Dan tidaklah mungkin saya harus Menganti akun Shopee saya. Saya harapkan anda mengerti dan segera menindaklanjutinya dengan baik ok."
Pengguna Google,5,2024-09-08 02:40:22,"Untuk aplikasi bintang 5,tapi untuk pihak jasa kirim selain SPX,JNE,JNT, Bintang 1. Tolong benar-benar di perhatikan. pengiriman sangat lama untuk daerah saya."
Pengguna Google,5,2024-09-08 02:39:49,aplikasinya bagus banget😍😍😍😍
Pengguna Google,4,2024-09-08 02:39:34,mantap
Pengguna Google,5,2024-09-08 02:39:30,Lebih suka belanja apapun lewat shopee harga lebih hemat waktu juga lebih hemat
Pengguna Google,5,2024-09-08 02:38:37,terbaik
Pengguna Google,5,2024-09-08 02:38:11,Pelayanannya cepat
Pengguna Google,5,2024-09-08 02:37:56,Mohon spaylater saya dikonfirmasi
Pengguna Google,4,2024-09-08 02:37:48,tolong kembalikan shopee luar negeri plisss ╥﹏╥😔🙏🏻
Pengguna Google,2,2024-09-08 02:37:32,"berat loadingnya,, lemot ,, beda dgn app shoping lainnya ringan,! pengirimannya teramat sangat lambat sekali, acara banyak yg ambyar gara gara nungguin paket,Krn pemberitahuan estimasi kirimnya juga lambat UPDATE,,, jadi mulai males beli di sini"
Pengguna Google,5,2024-09-08 02:37:19,"Tempat belanja terbaik, produknya murah² lagi dan banyak voucher nya, mantapppp deh👍"
Pengguna Google,5,2024-09-08 02:36:49,bagus
Pengguna Google,5,2024-09-08 02:35:30,Oke
Pengguna Google,5,2024-09-08 02:32:32,mantap tanpa ribet
Pengguna Google,5,2024-09-08 02:32:11,acc min pinjeman
Pengguna Google,5,2024-09-08 02:29:51,Mantab
Pengguna Google,5,2024-09-08 02:25:22,👍👍👍👍👍👍👍👍
Pengguna Google,3,2024-09-08 02:24:53,Lebih banyakin diskon nya
Pengguna Google,5,2024-09-08 02:22:53,Bagus oke sip rekomendet
Pengguna Google,1,2024-09-08 02:22:15,apk tai
Pengguna Google,5,2024-09-08 02:18:26,Pengiriman yang cepat
Pengguna Google,5,2024-09-08 02:17:42,Mantapv
Pengguna Google,1,2024-09-08 02:16:29,"Kalo mau kirim barang paket itu yaa wa dulu ya, jangan langsung njujuk di rumah, kalo saya ga di rumah di wa , ntar ujungnya akun Shope yg kena banned, TOLOL"
Pengguna Google,5,2024-09-08 02:15:38,Sangat membantu
Pengguna Google,1,2024-09-08 02:14:36,Akun dibatasi padahal ngga melakukan aktivitas mencurigakan dan saya juga gapunya tagihan ke Shopee-Pay
Pengguna Google,5,2024-09-08 02:14:24,mantap bos
Pengguna Google,5,2024-09-08 02:14:19,Omvk
Pengguna Google,1,2024-09-08 02:13:26,NOT RECOMMENDED
Pengguna Google,5,2024-09-08 02:13:20,Mantap...
Pengguna Google,1,2024-09-08 02:12:26,Biaya admin token listrik 1jt gede banget 41rb. Gila..
Pengguna Google,3,2024-09-08 02:12:14,"Awalnya Suka banget pake shopee, kurirnya juga fast respon,tapi semenjak kurir yang lama berhenti pihak ekspedisi malah seenaknya,blom diantar ke alamat tujuan malah ngasih alasan ditolak pembeli 🤧mungkin karena cod cek dulu makanya gak dianterin 😤 malah dikembalikan ke penjual😑"
Pengguna Google,5,2024-09-08 02:11:07,Sangat membantu sekali dan semoga jadi lebih baik lagi
Pengguna Google,5,2024-09-08 02:10:51,Bagus
Pengguna Google,5,2024-09-08 02:10:46,Sangat puas dengan pelayanannya.pengiriman barang tepat waktu.... saya selalu pilih sopie soal belanja onlin semoga tambah jaya buat sopie...
Pengguna Google,5,2024-09-08 02:10:18,"Terimakasih shopee emang kamu tu bukan fisik yang bisa saya temui, tapi kamu tuh the best gitu, membantu banget buat aku belanja secara gampang, dan Alhamdulillah shopee mengaktifkan fitur COD cek dulu buat aku terbantu banget cz sering juga aku belanja di toko yang tidak amanah langsung di retur donk, klo dulu sebelum ada COD cek dulu aku tu sll melakukan tf setiap belanja supaya klo ketemu toko gk amanah tinggal buat resi, sekarang serba gampang, apalagi setiap belanja banyak diskon nya dong🤭"
Pengguna Google,5,2024-09-08 02:10:04,Bagus bangwt
Pengguna Google,5,2024-09-08 02:09:06,Banyakin range koinnya dong shopee
Pengguna Google,5,2024-09-08 02:07:53,Pengalaman saya sampai saat ini shoppe selalu memberikan terbaik. Terima Kasih.
Pengguna Google,5,2024-09-08 02:06:59,Oke
Pengguna Google,5,2024-09-08 02:06:57,"Makin banyak biaya belanja di shopee skrg isi shopee ada biayanya,isi pakai BCA ada biaya penanganannya juga,jadi double biaya,makin kesini makin gak enak padahal udah langganan."
Pengguna Google,5,2024-09-08 02:06:48,"The best app, banyak diskon, pinjaman shopee dipermudah aman"
Pengguna Google,5,2024-09-08 02:06:00,Member gold sophee pay 900 K Jadi bisa ngerem belanja malah ditambah limit extra... Wah gimana nih.... 🤔
Pengguna Google,5,2024-09-08 02:05:54,Bintang 5
Pengguna Google,1,2024-09-08 02:04:36,Iklan nya mengganggu sekali... Tolong hapus iklan nya !...
Pengguna Google,1,2024-09-08 02:04:20,Pelayanan diskusi ribet lelet pisan asu
Pengguna Google,5,2024-09-08 02:04:03,Oke
Pengguna Google,5,2024-09-08 02:02:45,Mantaaaap p
Pengguna Google,5,2024-09-08 02:02:33,Mantul
Pengguna Google,5,2024-09-08 02:02:08,Bagus banget
Pengguna Google,5,2024-09-08 02:00:15,"Worth it, barangnya selalu datang tepat waktu"
Pengguna Google,5,2024-09-08 01:59:31,"Berguna banget sih bagi remaja kayak aku. Anak anak remaja tuh emang kepingin banget barang-barang yg lucu lucu terus yg imut imut. Termasuk aku pencinta seluruh komik. Selalu murah harganya, makanya aku suka beli di Shopee mamah aku, emang paling top deh buat se-Indonesia. Thx Shopee, selalu berikan yg terbaik untuk kita semua! :3"
Pengguna Google,5,2024-09-08 01:58:09,Semoga tambah kaya sopie
Pengguna Google,5,2024-09-08 01:58:01,Pokoke shope barngy ngga kaleng kaleng
Pengguna Google,1,2024-09-08 01:57:48,Susah amat login nya padahal udh verifikasi link tapi masih disuruh login
Pengguna Google,5,2024-09-08 01:57:46,Apk good
Pengguna Google,5,2024-09-08 01:57:10,Bintang menunjuk kan isi hati 🤣
Pengguna Google,1,2024-09-08 01:56:28,Shopee Game lu Riggg kali pembohonk publik
Pengguna Google,5,2024-09-08 01:56:08,Mantap
Pengguna Google,5,2024-09-08 01:55:53,Sangat bgus buat sya yg suka chekout
Pengguna Google,5,2024-09-08 01:55:41,Mantap
Pengguna Google,1,2024-09-08 01:54:55,Iklan dimana mana gak jelass iklan mending di lazada
Pengguna Google,5,2024-09-08 01:54:44,sopee memudahkan kita berbelanja
Pengguna Google,5,2024-09-08 01:53:18,Semoga shopee terus maju dan berkembang.dan mudah mudahan saya jadi top creator di shopee video🤲🤲🤲
Pengguna Google,3,2024-09-08 01:52:34,"Sering kali Barang yg di kirim Tdk cocok dgn pesanan.psn gula 1kg setelah nyampek cuma 1/5kg,psn 1set panci isi 5 ternyata cuma 1 panci kecil terus HP Oppo Reno setelah di kirim cuma mainan ini sekedar masukan aja BossQ ?"
Pengguna Google,5,2024-09-08 01:50:42,Memudahkan untuk belanja
Pengguna Google,5,2024-09-08 01:50:35,Oke.
Pengguna Google,5,2024-09-08 01:50:33,Sangat Baik Dan Saya Suak Shoppe
Pengguna Google,5,2024-09-08 01:50:25,Solusi belanja online yang pasti memuaskan
Pengguna Google,5,2024-09-08 01:50:20,👍👍
Pengguna Google,5,2024-09-08 01:49:30,bagussss bangettt sukses selalu
Pengguna Google,5,2024-09-08 01:48:54,bagussss bagettt
Pengguna Google,5,2024-09-08 01:48:43,Bagus dh lama saya pakai cuman nge bug agak parah si layar putih lambat scrol kadang gak bisa pencet
Pengguna Google,5,2024-09-08 01:47:59,Sopy sangat Baik dan bertangung jawab
Pengguna Google,5,2024-09-08 01:46:40,Jos
Pengguna Google,5,2024-09-08 01:42:53,Shopping online yang terbaik. Memberi kemudahan dalam berbelanja. Thanks Shoopee
Pengguna Google,5,2024-09-08 01:42:21,Shopee memang keren dan melayani dengan sangat baik. Tingkatkan terus kualitas layanannya. Siip
Pengguna Google,4,2024-09-08 01:41:36,Oke lah pokoknya 👍👍 Tetap jaga kwalitas dn kuantitas yaa
Pengguna Google,5,2024-09-08 01:37:38,sangat terbantu
Pengguna Google,3,2024-09-08 01:37:33,agus
Pengguna Google,5,2024-09-08 01:37:14,Layanan shopee membuat hidup saya jadi lebih mudah
Pengguna Google,5,2024-09-08 01:37:01,Ok
Pengguna Google,1,2024-09-08 01:36:41,Spaylater di nonaktifkan gabisa di aktifin lagi
Pengguna Google,3,2024-09-08 01:35:53,"Ada bug, dibali harus nya badung bukan bandung"
Pengguna Google,3,2024-09-08 01:34:55,kenapa yaa kalo cekout suka beda sama yang di poto??
Pengguna Google,4,2024-09-08 01:34:50,"Lebih ditingkatkan lagi pengiriman barangnya,dan lebih bnyak lagi promo2 menariknya"
Pengguna Google,4,2024-09-08 01:34:36,Mengispiras sllu
Pengguna Google,5,2024-09-08 01:34:25,Bagus
Pengguna Google,5,2024-09-08 01:34:14,Ok
Pengguna Google,5,2024-09-08 01:33:18,Mantap
Pengguna Google,1,2024-09-08 01:31:37,bad bgt gila
Pengguna Google,5,2024-09-08 01:31:24,Terimakasih Shoppe Kamu Salah Satunya Pilih Saya Untuk Berbelanja Dan Banyak Voucher Gratis Ongkirnya
Pengguna Google,5,2024-09-08 01:29:32,ok
Pengguna Google,1,2024-09-08 01:28:57,Mau pencet tanda x ternyata tanda x bagian dari iklan
Pengguna Google,5,2024-09-08 01:28:37,Sangat puas dengan performa kerjanya
Pengguna Google,1,2024-09-08 01:23:36,"Sering minta update tapi masih aja terjadi eror 👎 Dan heran nya gatau knp banyak seller yg gak amanah Aku sering dapat barang yg gak sesuai Lebih bagusan aplikasi sebelah Saran saya,tolong direspon ulasan2 para pembeli yg barang nya gak sesuai untuk dijadikan evaluasi,agar pembeli tidak merasa kecewa"
